Generations	Best score	Population
1	0.431279	0.010829   0.00105574     0.136887    0.0213609            7      0.56552      36.2015      1.05779     0.244029      23.3171      2.24499      7.43967      67.0432      5.30455            6      1.72198
2	0.431279	0.010829   0.00105574     0.136887    0.0213609            7      0.56552      36.2015      1.05779     0.244029      23.3171      2.24499      7.43967      67.0432      5.30455            6      1.72198
